id,from,to,priority,type,shape,spreadType
-178543139#2,6572227402,6572227434,3,highway.residential,"2766.23,662.37 2760.95,716.55 2760.58,721.40 2760.48,725.56 2760.79,729.78 2760.51,737.77 2760.11,744.10 2759.10,753.56 2755.61,778.09 2753.60,794.01 2746.45,859.73 2738.51,930.27 2730.33,990.96 2721.73,1058.23 2715.44,1122.45 2701.52,1253.49 2700.59,1261.62 2695.96,1301.74 2695.47,1305.49 2686.36,1373.31",
-182371948#0,2265599276,6568207737,3,highway.residential,"2717.15,2769.27 2640.01,2760.45 2610.38,2757.80",
-182371955#0,6568207660,cluster_286955226_6568207661,3,highway.residential,"2509.83,2344.60 2574.18,2351.87",
-182371956#1,2265599285,1927165533,3,highway.residential,"2803.42,2718.80 2805.20,2703.56 2812.80,2638.68",
-182371961#2,cluster_9848177603_9848177608,314508319,3,highway.residential,"2310.35,2804.34 2456.57,2817.82",
-182371964#2,314508350,6568207737,3,highway.residential,"2624.68,2632.16 2622.14,2666.05 2610.38,2757.80",
-182371964#3,6568207779,314508350,3,highway.residential,"2639.32,2495.40 2629.76,2584.72 2624.68,2632.16",
-182371965#0,1927165505,6568207648,3,highway.residential,"2385.61,2141.69 2387.84,2125.27 2387.79,2121.76 2386.59,2118.45",
-182371965#6,cluster_9848177603_9848177608,6568207680,3,highway.residential,"2309.45,2797.00 2318.74,2721.45",
-182371966#5,1927165530,6568207779,3,highway.residential,"2746.61,2506.70 2671.23,2498.52 2639.32,2495.40",
-182371968#3,cluster_286955226_6568207661,329600118,3,highway.residential,"2577.21,2328.04 2579.72,2301.92",
-182371968#5,1927165528,cluster_286955226_6568207661,3,highway.residential,"2559.20,2486.95 2574.18,2351.87",
-182371972,6568207648,1927165510,3,highway.residential,"2386.59,2118.45 2550.96,2141.01 2554.48,2141.38 2557.67,2142.90 2560.17,2145.39 2561.65,2148.57 2562.03,2151.72 2562.07,2154.89 2561.77,2158.06 2561.13,2161.25",
-215628926,2251061788,2251061704,3,highway.residential,"3801.69,1204.10 3795.05,1271.93 3788.65,1339.14",
-215628998#0,416988818,2251061998,3,highway.residential,"4149.49,1311.48 4157.46,1243.36 4165.16,1177.40 4172.33,1110.70 4174.47,1095.81 4180.44,1042.68 4181.82,1032.04 4188.49,973.20 4189.08,969.16 4191.81,945.55 4196.32,906.33 4203.67,839.23",
-215629038#0,2251061843,2251061830,3,highway.residential,"5104.29,1283.74 5100.80,1319.21 5097.96,1347.98",
-215629038#1,2251061855,2251061843,3,highway.residential,"5111.08,1214.69 5104.52,1281.29 5104.29,1283.74",
-217280772#5,314795390,2265599287,3,highway.residential,"3063.90,1673.88 3011.99,1668.19 2993.19,1666.12 2959.61,1662.36 2953.57,1661.69",
-217280781#0,2265599309,2265599287,3,highway.residential,"2938.05,1797.44 2942.75,1756.25 2953.57,1661.69",
-217280781#1,287924311,2265599309,3,highway.residential,"2923.29,1926.52 2933.26,1839.34 2938.05,1797.44",
