id,from,to,priority,type,shape,spreadType
-178543139#2,6572227402,6572227434,3,highway.residential,"[2746.45, 859.73]",
-182371948#0,2265599276,6568207737,3,highway.residential,"[2738.51, 930.27]",
-182371955#0,6568207660,cluster_286955226_6568207661,3,highway.residential,"[2730.33, 990.96]",
-182371956#1,2265599285,1927165533,3,highway.residential,"[2715.44, 1122.45]",
-182371961#2,cluster_9848177603_9848177608,314508319,3,highway.residential,"[2701.52, 1253.49]",
-182371964#2,314508350,6568207737,3,highway.residential,"[2700.59, 1261.62]",
-182371964#3,6568207779,314508350,3,highway.residential,"[2695.47, 1305.49]",
-182371965#0,1927165505,6568207648,3,highway.residential,"[2717.15, 2769.27]",
-182371965#6,cluster_9848177603_9848177608,6568207680,3,highway.residential,"[2640.01, 2760.45]",
-182371966#5,1927165530,6568207779,3,highway.residential,"[2610.38, 2757.8]",
-182371968#3,cluster_286955226_6568207661,329600118,3,highway.residential,"[2509.83, 2344.6]",
-182371968#5,1927165528,cluster_286955226_6568207661,3,highway.residential,"[2574.18, 2351.87]",
-182371972,6568207648,1927165510,3,highway.residential,"[2456.57, 2817.82]",
-215628926,2251061788,2251061704,3,highway.residential,"[2622.14, 2666.05]",
-215628998#0,416988818,2251061998,3,highway.residential,"[2387.84, 2125.27]",
-215629038#0,2251061843,2251061830,3,highway.residential,"[2387.79, 2121.76]",
-215629038#1,2251061855,2251061843,3,highway.residential,"[2309.45, 2797.0]",
-217280772#5,314795390,2265599287,3,highway.residential,"[2746.61, 2506.7]",
-217280781#0,2265599309,2265599287,3,highway.residential,"[2639.32, 2495.4]",
-217280781#1,287924311,2265599309,3,highway.residential,"[2577.21, 2328.04]",
-217280783#0,6572911071,cluster_2265599280_6572911077_6572911079,3,highway.residential,"[2579.72, 2301.92]",
-226118559#1,280773633,cluster_442349879_6572827937,3,highway.residential,"[2559.2, 2486.95]",
-234806527#0,2429384564,cluster_6135315479_6570524743,3,highway.residential,"[2574.18, 2351.87]",
-25584541#1,6574844052,cluster_278875778_6574844055,3,highway.residential,"[2386.59, 2118.45]",
-25584541#7,cluster_276611977_6574844054,6574844053,3,highway.residential,"[2550.96, 2141.01]",
-25584555#0,278876198,278876031,3,highway.residential,"[2557.67, 2142.9]",
-25584555#1,6574844043,278876198,3,highway.residential,"[2560.17, 2145.39]",
-25584557#0,278876158,6574844044,3,highway.residential,"[2562.03, 2151.72]",
-25584557#1,278876088,278876158,3,highway.residential,"[2562.07, 2154.89]",
-25584576#1,6574844053,6574844051,3,highway.residential,"[2561.13, 2161.25]",
-25584582#1,278876187,6574844050,3,highway.residential,"[3801.69, 1204.1]",
-25584589#1,367217323,cluster_278876199_367216502,3,highway.residential,"[3795.05, 1271.93]",
-25584589#7,cluster_278876200_6574844035,278876460,3,highway.residential,"[3788.65, 1339.14]",
-25584591#1,cluster_278876208_367870942,313936550,3,highway.residential,"[4149.49, 1311.48]",
-25584601#0,278876572,cluster_367217679_367888060,3,highway.residential,"[4157.46, 1243.36]",
-25584604#1,cluster_278876632_6280498529,278876631,3,highway.residential,"[4165.16, 1177.4]",
-25584616#1,278877316,cluster_278876867_367220803,3,highway.residential,"[4172.33, 1110.7]",
-25584616#4,6574844076,278877214,3,highway.residential,"[4180.44, 1042.68]",
-25584616#7,cluster_442290144_442290145_442290146_6574844078_6887652684,278877173,3,highway.residential,"[4181.82, 1032.04]",
-25584635#1,278877392,278877391,3,highway.residential,"[4189.08, 969.16]",
-25584639#1,278877518,cluster_278877460_6287969867,3,highway.residential,"[4191.81, 945.55]",
-25584640#1,cluster_278877517_512417459,278877522,3,highway.residential,"[4196.32, 906.33]",
-25746577#3,cluster_280771664_442349882,280773634,3,highway.residential,"[4203.67, 839.23]",
-25746577#5,2400953160,cluster_280771664_442349882,3,highway.residential,"[5104.29, 1283.74]",
-25746578#1,3723347346,cluster_280771666_442349890,3,highway.residential,"[5100.8, 1319.21]",
-25746578#10,cluster_6568148781_6572827960_6572827962_6884069715_8285723079,367883620,3,highway.residential,"[5097.96, 1347.98]",
-25746588#1,2349736001,cluster_6114046739_6568148776,3,highway.residential,"[5111.08, 1214.69]",
-25746588#11,cluster_280771812_442349874_6572827950_6572827951_6894453662,313957974,3,highway.residential,"[5104.52, 1281.29]",
-25746624#3,cluster_6572827966_6572827967,280773604,3,highway.residential,"[5104.29, 1283.74]",
-25746624#5,6572827958,cluster_6572827966_6572827967,3,highway.residential,"[3063.9, 1673.88]",
-258633769#1,2639671067,2639671066,3,highway.residential,"[2959.61, 1662.36]",
-26195719#4,313957971,2251061792,3,highway.residential,"[2953.57, 1661.69]",
-26195744#0,2251061830,286839686,3,highway.residential,"[2942.75, 1756.25]",
-26195744#9,315025479,2251061813,3,highway.residential,"[2953.57, 1661.69]",
-26195753#4,2251061951,286839686,3,highway.residential,"[5167.82, 1835.31]",
-26203057,cluster_6274422668_7130062668,6572802248,3,highway.residential,"[3750.64, 1898.22]",
-26203176#0,2251061887,2251061711,3,highway.residential,"[3841.74, 2054.84]",
-26206348#0,8771565221,6570522946,3,highway.residential,"[3855.66, 1909.83]",
-26206348#4,cluster_4325419700_6572911046,6572911033,3,highway.residential,"[3851.49, 1954.71]",
-26221563#0,6274461824,505360296,3,highway.residential,"[3551.78, 1728.15]",
-26253962#1,2429384580,cluster_6568170685_6570524757,3,highway.residential,"[4089.4, 1786.6]",
-26253962#7,cluster_367884781_6570524756,6570524744,3,highway.residential,"[4037.78, 1780.98]",
-26253984#1,6570524696,cluster_3675027611_6135315657,3,highway.residential,"[3908.62, 1620.7]",
-26253984#7,cluster_367885786_6568148768,6132207429,3,highway.residential,"[3899.86, 1694.38]",
-26253995#1,cluster_6570524693_6570524694,6570524692,3,highway.residential,"[3799.4, 1830.33]",
-26253996#1,415863652,cluster_280772564_367884043,3,highway.residential,"[3592.3, 1807.22]",
-26285000#4,287924311,314795352,3,highway.residential,"[3680.58, 2329.16]",
-26520995,290681636,1642458534,3,highway.residential,"[3962.87, 2842.91]",
-26729390#0,348541064,2265599276,3,highway.residential,"[3491.5, 2715.31]",
-26729390#1,1927165530,348541064,3,highway.residential,"[3490.75, 2721.2]",
-26729390#4,6571819459,314508497,3,highway.residential,"[3659.14, 2532.55]",
-28581388#0,cluster_313936546_367216417,313936544,3,highway.residential,"[3805.89, 2548.27]",
-28581445,6570644105,6572227382,3,highway.residential,"[4741.39, 1788.67]",
-28581483,6572227332,267611273,3,highway.residential,"[5232.09, 2059.38]",
-28583806#0,280773635,313957974,3,highway.residential,"[5174.28, 1911.23]",
-28583806#1,cluster_313957979_442349884,280773635,3,highway.residential,"[5224.83, 1916.96]",
-28616951#2,6568207678,314508326,3,highway.residential,"[4312.74, 1813.44]",
-28616953#1,314508318,6568207678,3,highway.residential,"[4591.76, 2134.76]",
-28616956#0,314508318,314508325,3,highway.residential,"[4581.85, 2229.26]",
