dateandtime,vehid,coord,gpscoord,spdK/m,edge,lane,displacement,turnAngle,vehDen
2022-12-04 01:02:00,randUni1015:1,"[3287.8189092529274, 3067.8454537353628]","[31.33631416277652, 30.06815126913773]",56.86179534394319,:456348661_2,:456348661_2_0,895.63,149.82,13
2022-12-04 01:02:00,randUni11569:1,"[5292.241456444062, 1765.3313770129616]","[31.357296278538733, 30.056663032299]",23.988186281355258,25746572#9,25746572#9_0,493.44,83.72,13
2022-12-04 01:02:00,randUni11706:1,"[2261.832534658419, 2487.082016280306]","[31.325761871216518, 30.062777288501856]",58.91059399914575,906984715#1,906984715#1_0,1111.4,352.84,13
2022-12-04 01:02:00,randUni11877:1,"[2267.898134322662, 2401.6172837044487]","[31.32583775084002, 30.062007141499283]",59.761954788821264,906984715#0,906984715#0_0,1047.26,354.35,13
2022-12-04 01:02:00,randUni12069:1,"[3070.686632408427, 1440.5875289170806]","[31.33430811385915, 30.053443742135716]",66.08402773353542,29982808#3-AddedOnRampEdge,29982808#3-AddedOnRampEdge_2,3311.85,262.27,13
2022-12-04 01:02:00,randUni1241:1,"[2720.9724326452333, 2312.453229626773]","[31.33054978603334, 30.06126257698351]",52.704507249444724,765656384#0,765656384#0_0,70.05,85.17,13
2022-12-04 01:02:00,randUni1339:1,"[3440.7811735638975, 1842.2521142469986]","[31.338085282011043, 30.057115612382166]",57.15353535667371,28582639#5,28582639#5_0,1216.19,353.67,13
2022-12-04 01:02:00,randUni2646:1,"[4550.859544993311, 2385.292014385638]","[31.349515426441897, 30.06215926756872]",66.89051215954493,25584650#3,25584650#3_0,728.79,174.53,13
2022-12-04 01:02:00,randUni2839:1,"[5072.236537288072, 3165.5880433151233]","[31.35480591709011, 30.069265928184535]",61.32504679094453,:367885620_1,:367885620_1_0,2983.22,329.61,13
2022-12-04 01:02:00,randUni4685:1,"[4574.3897508765685, 1916.5493329337853]","[31.349829594092114, 30.057933910544712]",50.242272896248366,35458366,35458366_0,59.45,84.2,13
2022-12-04 01:02:00,randUni6912:1,"[2200.3883397085806, 2812.3738810334585]","[31.325075252848475, 30.065703516018747]",64.2532057442315,37789102#2,37789102#2_0,5327.18,175.29,13
2022-12-04 01:02:00,randUni8443:1,"[3578.053431417432, 2169.5309153181497]","[31.339459498483187, 30.060085892224436]",50.09133778713487,-25584541#2,-25584541#2_0,2774.58,263.62,13
2022-12-04 01:02:00,randUni9831:1,"[2556.698765265516, 2488.2932397774084]","[31.328819573014005, 30.062827126196943]",28.809231941775845,:1927165528_13,:1927165528_13_0,1891.05,83.96,13
2022-12-04 01:03:00,randUni1015:1,"[3374.5140088015155, 2151.1314368001554]","[31.337351530170064, 30.059893236542372]",55.165433040289464,28641563,28641563_0,1826.3,264.14,15
2022-12-04 01:03:00,randUni10427:1,"[4730.759819065974, 1900.350885710322]","[31.35145357833774, 30.05780813212729]",52.22945913130226,25746577#1,25746577#1_0,512.57,173.74,15
2022-12-04 01:03:00,randUni10461:1,"[4951.707923385454, 2809.413217823371]","[31.35360908331769, 30.066037301226462]",56.08265526774275,37099917#2,37099917#2_0,661.36,264.04,15
2022-12-04 01:03:00,randUni11706:1,"[2695.58676687296, 3045.767903290141]","[31.33017546670902, 30.067874227276377]",56.414182771152085,885610134#4,885610134#4_0,2086.45,85.61,15
2022-12-04 01:03:00,randUni11877:1,"[2635.5020056064727, 3041.1554652479645]","[31.329553029103895, 30.067824701983493]",61.64890440655357,885610134#4,885610134#4_0,2048.38,85.61,15
2022-12-04 01:03:00,randUni1241:1,"[3605.3567817972325, 2417.212678322182]","[31.33970534562252, 30.062323737283204]",54.260758308916934,858935302,858935302_0,962.31,83.52,15
2022-12-04 01:03:00,randUni1339:1,"[3332.794828411324, 2820.0335709664005]","[31.336817997169508, 30.065921735166327]",59.04811731708545,28582639#11,28582639#11_0,2200.87,353.44,15
2022-12-04 01:03:00,randUni2646:1,"[5274.464167818633, 2333.887305090039]","[31.35702722133934, 30.061789561259726]",26.22717140281146,25746632#12,25746632#12_0,1698.86,183.5,15
2022-12-04 01:03:00,randUni4503:1,"[3392.692245799286, 2430.437844562825]","[31.337497929952153, 30.06241516383646]",0.0,671744652#8,671744652#8_0,0.0,290.79,15
2022-12-04 01:03:00,randUni4685:1,"[4158.028287036475, 2199.005699384069]","[31.34546954116062, 30.060427612296262]",49.20220963446748,669890458#6,669890458#6_1,840.35,352.86,15
2022-12-04 01:03:00,randUni7194:1,"[2982.8010357408693, 2267.7768449191954]","[31.333271775637495, 30.06089401994221]",55.81888617116571,765656383#0-AddedOffRampEdge,765656383#0-AddedOffRampEdge_1,355.23,354.55,15
2022-12-04 01:03:00,randUni7761:1,"[3425.156927784238, 2925.22887582815]","[31.337760004094385, 30.066882787969938]",42.456809221468674,:cluster_287522801_442338119_6574844080_6574844081_6904513932_5,:cluster_287522801_442338119_6574844080_6574844081_6904513932_5_0,747.05,281.79,15
2022-12-04 01:03:00,randUni8294:1,"[4246.7861709112985, 2963.8912398397124]","[31.346275259506857, 30.067339035408406]",15.456257411269473,699926142#0,699926142#0_0,6.78,84.76,15
2022-12-04 01:03:00,randUni9282:1,"[4298.849243219846, 1466.6878125778912]","[31.347039659207564, 30.05383991836445]",39.09770313206539,-26202643#0,-26202643#0_0,321.71,262.94,15
2022-12-04 01:03:00,randUni9831:1,"[3333.71476458138, 2504.9535274391965]","[31.33687506833205, 30.063079611369737]",15.918475563368618,32692554,32692554_0,2756.74,82.59,15
2022-12-04 01:04:00,randUni1015:1,"[3008.585337129823, 1666.2055155693106]","[31.333630069091292, 30.055470815473104]",50.56555853909612,-217280772#5,-217280772#5_0,2664.15,263.73,18
2022-12-04 01:04:00,randUni10427:1,"[4252.733974334054, 1559.2390638752315]","[31.34654758855424, 30.054668788459033]",51.30034224135609,700675428,700675428_0,1299.27,262.87,18
2022-12-04 01:04:00,randUni10461:1,"[4379.719111439232, 2518.9082244005454]","[31.347720598182647, 30.063342291232765]",58.34894246616336,:8285673790_0,:8285673790_0_0,1492.28,244.77,18
2022-12-04 01:04:00,randUni10619:1,"[4181.008511124744, 1968.2554864182553]","[31.34574246870184, 30.058349070599466]",42.12266674039562,669890458#3,669890458#3_0,426.86,353.59,18
