dateandtime,vehid,coord,gpscoord,spdK/m,edge,lane,displacement,turnAngle,vehDen
2022-12-04 13:02:00,carIn1144:1,"[2593.3141173640292, 210.07813223201617]","[31.329544344329573, 30.042280884921514]",59.71354369470351,26520591#0,26520591#0_0,208.76,349.82,199
2022-12-04 13:02:00,carIn1646:3,"[5286.950172802663, 3006.4551950226337]","[31.35705648233327, 30.067858278756283]",52.84672405957467,:6474887550_0,:6474887550_0_1,4839.48,335.85,199
2022-12-04 13:02:00,carIn243:1,"[5098.844808086572, 3279.9502878897792]","[31.35506481122121, 30.070301019041963]",54.33932713213273,41336031#0-AddedOnRampEdge,41336031#0-AddedOnRampEdge_1,3282.44,145.41,199
2022-12-04 13:02:00,carIn2802:3,"[3508.2085750640813, 3128.844544030849]","[31.33859063673783, 30.068730435555334]",25.292892350753796,:7653646168_0,:7653646168_0_0,1132.71,123.48,199
2022-12-04 13:02:00,carIn2836:1,"[3124.053063944176, 1431.541017881485]","[31.334862861714893, 30.053369145927654]",58.28033532081909,850927448,850927448_0,1078.74,84.65,199
2022-12-04 13:02:00,carIn3402:1,"[3865.8752464448526, 3041.842209947092]","[31.342313119340876, 30.067992447661933]",61.949140191997884,32659640#2,32659640#2_1,5693.75,264.49,199
2022-12-04 13:02:00,carIn3643:3,"[4511.9963226999025, 1591.8057272800345]","[31.349231181569227, 30.054996348786823]",45.10070217220444,26203214#4-AddedOffRampEdge,26203214#4-AddedOffRampEdge_0,1186.87,264.16,199
2022-12-04 13:02:00,carIn3823:3,"[2482.0893443629225, 3038.0244047885813]","[31.327962469504467, 30.06777622754468]",62.05760235077867,52244427#10,52244427#10_0,964.12,264.1,199
2022-12-04 13:02:00,carIn424:3,"[5113.37641411366, 3294.6123000898056]","[31.35521333560954, 30.070435168008245]",60.47050577348618,772236620#21-AddedOffRampEdge,772236620#21-AddedOffRampEdge_2,3180.09,328.13,199
2022-12-04 13:02:00,carIn4407:1,"[2076.577738932869, 1279.1861516551653]","[31.324024281335298, 30.051856791428172]",22.829984973957764,883292350#0,883292350#0_0,13.32,74.7,199
2022-12-04 13:02:00,h10010c1:1,"[3486.430528203698, 1473.4044790240937]","[31.338614223888328, 30.053794322027613]",57.445536890996195,700673538,700673538_0,3374.03,262.81,199
2022-12-04 13:02:00,h10545c1:5,"[3996.303561195971, 3205.778670837361]","[31.34364116340168, 30.069488327445285]",67.06253630752363,819585395#10,819585395#10_1,2981.2,263.76,199
2022-12-04 13:02:00,h10573c1:5,"[3878.3925450437646, 3264.0480669234535]","[31.342409522633186, 30.0699985429157]",0.5643050013925229,-699921225,-699921225_0,2764.02,27.74,199
2022-12-04 13:02:00,h10814c1:3,"[2581.912998744269, 3048.333060672873]","[31.328996172173643, 30.06788238418834]",60.00916349932968,52244427#10,52244427#10_0,2161.82,264.1,199
2022-12-04 13:02:00,h109c1:5,"[3509.363668499474, 2030.9790192504918]","[31.338768044988694, 30.058827054271358]",55.017505877406194,32690567#13,32690567#13_0,939.68,173.08,199
2022-12-04 13:02:00,h11272c1:3,"[3392.631331192649, 2302.3559663580863]","[31.33751661006424, 30.061259765995715]",57.34347535970839,28582639#7-AddedOffRampEdge,28582639#7-AddedOffRampEdge_1,1530.81,356.74,199
2022-12-04 13:02:00,h11286c1:5,"[3584.0370075772144, 3050.9848022197425]","[31.3393887900568, 30.06803802364954]",61.95981874804802,-700145119,-700145119_0,3247.02,174.14,199
2022-12-04 13:02:00,h12116c1:3,"[3464.420232543566, 1519.4610143075358]","[31.338379048890886, 30.05420690116777]",64.53603918125928,700074885#23-AddedOffRampEdge,700074885#23-AddedOffRampEdge_0,2133.34,174.63,199
2022-12-04 13:02:00,h1225c1:3,"[5305.263984211362, 1706.213278081118]","[31.357440126212413, 30.056131426391072]",57.64042936027622,:7937296048_0,:7937296048_0_0,1133.87,178.93,199
2022-12-04 13:02:00,h12588c1:3,"[5350.230741402837, 2316.0234504672603]","[31.35781561684662, 30.06163823299777]",55.29946596228876,699691940#0,699691940#0_0,338.88,278.03,199
2022-12-04 13:02:00,h1301c1:1,"[1702.223259625612, 2955.241581925098]","[31.31988716417352, 30.066926338113674]",56.734748728980975,52244427#14,52244427#14_0,4313.18,260.92,199
2022-12-04 13:02:00,h14323c1:1,"[2287.111297843357, 2802.8494717973203]","[31.3259760777362, 30.06562905697688]",53.59134676418831,38071249#8,38071249#8_0,3864.61,264.09,199
2022-12-04 13:02:00,h14385c1:3,"[3760.080940799979, 3158.8818852509394]","[31.341198310729222, 30.06903438748802]",36.233507642025266,819202035,819202035_1,3796.36,99.79,199
2022-12-04 13:02:00,h14408c1:3,"[2662.681716447335, 2332.459128064979]","[31.32994226541524, 30.061435365455196]",0.0,650705746,650705746_0,2762.09,119.1,199
2022-12-04 13:02:00,h15050c1:5,"[3520.909847347044, 1899.3367222074214]","[31.338907608771425, 30.057641058403792]",55.429293474104114,32690567#15,32690567#15_1,2175.76,173.73,199
2022-12-04 13:02:00,h15507c1:3,"[4240.651373223496, 1560.9525500263542]","[31.34642203907511, 30.05468266962301]",64.04508078712202,700675428,700675428_1,1115.15,262.88,199
2022-12-04 13:02:00,h15511c1:3,"[3531.3739622003395, 1916.1736929060444]","[31.339013585106997, 30.05779431113348]",46.16657415779474,25584525#5,25584525#5_0,789.47,353.91,199
2022-12-04 13:02:00,h15618c1:5,"[3252.774186882839, 2377.2490992834782]","[31.336054946972457, 30.061917004554633]",55.01950509033956,858935302,858935302_0,2087.38,83.71,199
2022-12-04 13:02:00,h16303c1:5,"[3953.495636075064, 2467.003997915232]","[31.343308218658198, 30.062818442395947]",59.563631222108754,858935315,858935315_0,2452.91,263.89,199
2022-12-04 13:02:00,h1630c1:3,"[2682.9040967214014, 2307.1440967214016]","[31.33015581106033, 30.061209670778922]",0.0,947628159#0,947628159#0_0,609.11,34.37,199
2022-12-04 13:02:00,h16909c1:3,"[4434.0129535157885, 3865.422936220924]","[31.348081875105745, 30.075495941817216]",48.02236161679095,699651625#1,699651625#1_0,3253.09,356.33,199
2022-12-04 13:02:00,h1692c1:3,"[5147.154732481801, 1748.0243910321403]","[31.355794319728805, 30.056488101407858]",55.810120605404435,25746572#6,25746572#6_0,2004.46,83.13,199
2022-12-04 13:02:00,h17002c1:3,"[3900.0792894394585, 1534.6226800805637]","[31.34289437848931, 30.054400688662042]",56.951582818306406,701104139#4,701104139#4_3,1087.84,263.4,199
2022-12-04 13:02:00,h17029c1:3,"[2619.0411909458644, 2333.540208208098]","[31.329489536884225, 30.061439367145947]",0.25721754791761337,650705746,650705746_0,757.33,84.68,199
2022-12-04 13:02:00,h17443c1:3,"[4249.724019255285, 1797.8002627974097]","[31.34648060998163, 30.056820399810377]",55.53135793756081,37718131#0,37718131#0_0,2464.62,82.84,199
2022-12-04 13:02:00,h1797c1:5,"[3384.98682655104, 2182.7447685987922]","[31.337455368670557, 30.06017978496086]",55.291196314373984,700074885#13,700074885#13_0,1881.28,172.89,199
2022-12-04 13:02:00,h18023c1:5,"[4876.1755936498785, 2178.2082174150096]","[31.35292004286664, 30.060333524987584]",62.048154473702326,32691561#4,32691561#4_0,1423.96,263.57,199
2022-12-04 13:02:00,h18971c1:3,"[2273.64094723688, 3404.2719300594576]","[31.325745037189694, 30.07105249928355]",63.26818295132796,393878336#0,393878336#0_0,614.07,68.6,199
2022-12-04 13:02:00,h19316c1:1,"[4036.4688264899314, 3122.3399310783934]","[31.344070260161295, 30.068740897814767]",48.55557227876627,669890462#1,669890462#1_0,497.76,173.44,199
2022-12-04 13:02:00,h20134c1:5,"[2946.3165554719258, 1405.0994259276245]","[31.333023824977285, 30.053107269222732]",62.08714301036657,564555056#0-AddedOffRampEdge,564555056#0-AddedOffRampEdge_1,1154.02,83.81,199
2022-12-04 13:02:00,h20196c1:5,"[2656.127565160498, 2336.1063846669285]","[31.32987374454275, 30.061467402661943]",0.0,650705746,650705746_0,1809.1,97.45,199
2022-12-04 13:02:00,h20325c1:3,"[5763.210348285078, 1628.755777524872]","[31.36220048458076, 30.05549194097242]",6.581780884936451,26203057,26203057_0,1.83,263.78,199
2022-12-04 13:02:00,h20539c1:3,"[3836.9228550076878, 1414.8016142043114]","[31.342257479190977, 30.05331155712756]",43.04979888473664,-215628990#1,-215628990#1_0,4291.69,263.85,199
2022-12-04 13:02:00,h21012c1:1,"[3793.0122217139033, 3519.927169102904]","[31.341485520137038, 30.072295585563932]",56.85500408041633,26203719#0,26203719#0_0,560.55,180.55,199
2022-12-04 13:02:00,h21323c1:3,"[4158.40864176063, 2015.0220729411237]","[31.345501090459887, 30.05876799118328]",50.2845423307574,669890462#13,669890462#13_0,1892.5,173.62,199
2022-12-04 13:02:00,h21352c1:3,"[4226.551951340786, 1490.5458861046914]","[31.346286389249023, 30.054045708801738]",43.70828356962159,26026754#1,26026754#1_0,781.38,353.34,199
2022-12-04 13:02:00,h21453c1:5,"[4570.245756005679, 1292.2762040673508]","[31.349880023948803, 30.052301941534523]",43.86223005099559,-26195744#9,-26195744#9_0,2139.67,84.02,199
2022-12-04 13:02:00,h21760c1:3,"[2682.2488941391, 2330.7709199140404]","[31.330145438359175, 30.061422714474297]",0.0,765656381#5,765656381#5_0,898.25,258.28,199
2022-12-04 13:02:00,h21806c1:1,"[3402.612789062315, 2032.1830806702026]","[31.337660850567495, 30.058823922167782]",60.199677106388364,:664906571_0,:664906571_0_0,1171.28,173.41,199
2022-12-04 13:02:00,h21891c1:3,"[4845.557866959204, 2174.758009529937]","[31.35260304353342, 30.060298422779862]",58.70126308420481,32691561#4,32691561#4_0,1546.74,263.57,199
2022-12-04 13:02:00,h22467c1:1,"[3007.337355946132, 1410.9155892704898]","[31.333655697739214, 30.053167756215494]",59.555517601158286,:7958644218_0,:7958644218_0_1,716.73,86.91,199
2022-12-04 13:02:00,h22517c1:3,"[2588.145915641337, 1650.165672639394]","[31.329272680255865, 30.055270792502842]",62.465275874963744,26206377#1,26206377#1_0,1509.88,354.32,199
2022-12-04 13:02:00,h23667c1:3,"[2603.419504719518, 2490.0004418846506]","[31.329303828417867, 30.062848685233238]",58.14944722707648,-182371966#4,-182371966#4_0,3136.82,263.98,199
2022-12-04 13:02:00,h24249c1:3,"[2968.662094720382, 2869.3086082062478]","[31.333034206123337, 30.06631839245613]",60.325890785922745,693684932#3,693684932#3_0,1580.14,264.35,199
2022-12-04 13:02:00,h24896c1:3,"[3395.012867311893, 2097.0622611074036]","[31.33757225813621, 30.059408182288262]",53.616009115489526,700074885#15,700074885#15_0,2500.16,173.3,199
2022-12-04 13:02:00,h2498c1:3,"[2648.9237968925077, 2336.4160905238646]","[31.329798992460287, 30.061469247266846]",0.0,650705746,650705746_0,1060.42,83.61,199
2022-12-04 13:02:00,h26074c1:3,"[2057.015924957723, 2449.8326764379053]","[31.323643504706574, 30.062414205128793]",61.687939040721005,29982392#1,29982392#1_0,125.36,333.15,199
2022-12-04 13:02:00,h26393c1:3,"[3063.3630503118384, 1439.593522590486]","[31.334232322254515, 30.053433813347766]",53.899712578699294,29982808#3-AddedOnRampEdge,29982808#3-AddedOnRampEdge_2,3606.88,262.27,199
2022-12-04 13:02:00,h26492c1:3,"[2789.381963465235, 2922.322903861468]","[31.33116690115189, 30.066773024419625]",67.14572137824247,38071249#0,38071249#0_0,845.26,267.54,199
2022-12-04 13:02:00,h26682c1:3,"[2421.903878833018, 2336.269279916703]","[31.327444753974525, 30.06143798958172]",62.27442770655528,-182371955#2,-182371955#2_0,743.98,83.56,199
2022-12-04 13:02:00,h27093c1:3,"[3340.9197547823533, 3123.9417686076167]","[31.336856409324813, 30.068664266778306]",51.619029896920686,819202034,819202034_0,1081.1,263.57,199
2022-12-04 13:02:00,h2728c1:3,"[5329.220799629143, 1813.2841838774004]","[31.357672610865883, 30.057100396515658]",56.87031786545065,772236620#3,772236620#3_1,1331.29,6.96,199
2022-12-04 13:02:00,h2759c1:3,"[4698.781498835507, 1698.8186327934689]","[31.351152093871875, 30.055985994786308]",55.284637404409324,25746572#3,25746572#3_0,2706.98,84.22,199
2022-12-04 13:02:00,h27658c1:3,"[2297.0539777421877, 1982.4874137467982]","[31.32620372803348, 30.058230162567906]",54.48228187346539,859375453,859375453_0,913.05,174.06,199
2022-12-04 13:02:00,h2803c1:5,"[5307.595189954361, 1684.471139726166]","[31.357467538651868, 30.055935596679937]",47.318996432685125,:8244864140_0,:8244864140_0_0,3177.34,325.44,199
2022-12-04 13:02:00,h28723c1:3,"[2955.783045112776, 3086.8144664319807]","[31.332867746609015, 30.06827875012916]",65.3219803130271,52244427#7-AddedOnRampEdge,52244427#7-AddedOnRampEdge_2,1341.23,260.41,199
2022-12-04 13:02:00,h29185c1:1,"[4251.024661096368, 1548.5528283617061]","[31.346531465572056, 30.054572167531422]",56.100603367993735,850927457,850927457_1,1499.93,82.69,199
2022-12-04 13:02:00,h29651c1:3,"[3783.5098459018623, 3182.4087141825858]","[31.341437755231034, 30.069249682861265]",50.90754860857798,:286921499_1,:286921499_1_0,543.87,270.16,199
2022-12-04 13:02:00,h29859c1:3,"[4510.032799675543, 2512.269351361755]","[31.349073021414046, 30.063299383569195]",59.137432068592275,:8273122446_3,:8273122446_3_0,2425.83,83.89,199
2022-12-04 13:02:00,h29876c1:3,"[3695.2875213180478, 2524.449877372057]","[31.340621827324235, 30.06330287072664]",56.68697209149171,32226001#2,32226001#2_0,398.9,83.44,199
2022-12-04 13:02:00,h30609c1:3,"[3772.5210114175206, 2455.3758439636104]","[31.34143317115736, 30.06268988110126]",58.46746066746743,671744652#2,671744652#2_0,570.98,264.42,199
2022-12-04 13:02:00,h30665c1:3,"[2227.754864055123, 2601.154882109502]","[31.32539114617763, 30.06380179889191]",59.011202789743166,:6572611779_0,:6572611779_0_0,613.28,174.14,199
2022-12-04 13:02:00,h31049c1:1,"[4835.121974536281, 2276.379367042588]","[31.352479636827688, 30.06121377070499]",59.10649002007724,:699691940#6-AddedOffRampNode_0,:699691940#6-AddedOffRampNode_0_0,278.03,239.06,199
2022-12-04 13:02:00,h31826c1:3,"[3815.515487514009, 2966.1977415382453]","[31.341802215213935, 30.06730349168861]",2.60702332774556,32691996#4,32691996#4_0,6159.95,83.15,199
2022-12-04 13:02:00,h31904c1:3,"[2683.463350802218, 2290.5177457068876]","[31.33016412854763, 30.06105976345632]",0.0,51799432#2,51799432#2_0,29.29,357.55,199
2022-12-04 13:02:00,h319c1:5,"[3217.0071847440513, 1449.6838154062957]","[31.335824009918966, 30.053545011038743]",56.09567929212336,700673538,700673538_1,3396.06,264.57,199
2022-12-04 13:02:00,h32204c1:3,"[2764.419140409121, 664.4732889265673]","[31.331249691409646, 30.04640237449128]",43.73063110845164,-178543139#2,-178543139#2_0,45.41,326.56,199
2022-12-04 13:02:00,h32696c1:1,"[3620.9626128308837, 3165.184782683824]","[31.339754546483015, 30.069073026824665]",47.14368669438568,940974902#0-AddedOffRampEdge,940974902#0-AddedOffRampEdge_1,2152.57,262.87,199
2022-12-04 13:02:00,h33178c1:5,"[4180.098012304018, 1812.920809487626]","[31.34575632776187, 30.056947715514774]",51.00274423998227,669890462#15,669890462#15_0,3662.11,174.07,199
2022-12-04 13:02:00,h33432c1:3,"[3407.595752910466, 2151.0614761809784]","[31.337694603940818, 30.059896943962286]",63.888239898417766,28582639#7,28582639#7_0,461.48,354.07,199
2022-12-04 13:02:00,h33964c1:5,"[1973.1227354077325, 3851.218625912203]","[31.32256026104768, 30.075044498641212]",59.146388722957354,24958252#0,24958252#0_0,499.59,137.58,199
2022-12-04 13:02:00,h3413c1:3,"[3604.933664309721, 1134.6989311440122]","[31.339894024015614, 30.050754470763]",63.76414836725263,26203176#0,26203176#0_0,919.03,353.9,199
2022-12-04 13:02:00,h34690c1:3,"[4156.95615450949, 2181.6952204965733]","[31.34546102025018, 30.060271318834772]",66.99248208613781,:278877842_0,:278877842_0_0,525.65,353.21,199
2022-12-04 13:02:00,h3478c1:3,"[4299.33735909256, 1573.5268727020177]","[31.34702870903, 30.054803752247526]",60.98885447762386,888224698#2,888224698#2_1,819.4,262.27,199
2022-12-04 13:02:00,h34940c1:5,"[4144.423441326257, 3200.2977607692546]","[31.345178167835492, 30.069458235952226]",67.36756167364577,939250973,939250973_0,1314.63,96.43,199
2022-12-04 13:02:00,h3556c1:3,"[4412.543669748128, 1271.6824331122034]","[31.34824782612759, 30.052095636070337]",73.02111867097463,26195744#10,26195744#10_0,1063.69,263.66,199
2022-12-04 13:02:00,h35698c1:3,"[4219.771333172402, 2698.264512816011]","[31.3460349413629, 30.064939358885148]",24.370978480135072,:cluster_8279196058_8279196059_4,:cluster_8279196058_8279196059_4_0,121.55,261.29,199
2022-12-04 13:02:00,h35900c1:3,"[2644.1142314205445, 2910.48083812379]","[31.329662146195837, 30.066647064481725]",59.056423548418266,38071249#3,38071249#3_0,516.04,264.08,199
2022-12-04 13:02:00,h35930c1:3,"[3666.070071323333, 3151.1286420732013]","[31.340224478628635, 30.068952138866575]",63.73334193421161,819202035,819202035_1,2166.21,83.66,199
2022-12-04 13:02:00,h36038c1:1,"[4623.795196565397, 2690.295749516161]","[31.35022616498427, 30.06492013039896]",56.2958672982869,654745276#5,654745276#5_0,3727.79,173.46,199
2022-12-04 13:02:00,h36130c1:5,"[4012.2150438725075, 3570.3538265274174]","[31.343751401810852, 30.07277914060538]",56.46420796323724,284147370#0,284147370#0_0,522.87,168.07,199
2022-12-04 13:02:00,h36345c1:3,"[3009.3063613369577, 2662.6430752669785]","[31.33348696080454, 30.06445947190206]",53.11560453094818,26729412#2,26729412#2_0,302.43,83.51,199
2022-12-04 13:02:00,h37416c1:3,"[2704.480526160168, 2334.176433387414]","[31.33037547112662, 30.061456362964737]",0.0,765656381#5,765656381#5_0,3336.67,263.96,199
2022-12-04 13:02:00,h37586c1:5,"[3486.398769037888, 1451.1616296263005]","[31.33861724494129, 30.05359367114581]",47.882985558534216,:8074011454_1,:8074011454_1_1,272.12,17.2,199
2022-12-04 13:02:00,h37748c1:5,"[2660.8318895658967, 2310.377776004437]","[31.329926426654477, 30.061235932957597]",0.0,947628159#3,947628159#3_1,838.62,175.59,199
2022-12-04 13:02:00,h38476c1:3,"[2527.6066654683955, 3042.724917938086]","[31.32843381413992, 30.067824633563653]",53.22108974130929,52244427#10,52244427#10_0,1864.35,264.1,199
2022-12-04 13:02:00,h38688c1:3,"[2227.3893013470683, 2735.636563639382]","[31.325366928326613, 30.06501486325026]",60.172028876704644,906984715#1-AddedOffRampEdge,906984715#1-AddedOffRampEdge_0,1386.7,352.84,199
2022-12-04 13:02:00,h3868c1:5,"[3797.1197075964096, 1523.1752692707869]","[31.34182844779915, 30.054283963349114]",42.14437545325877,701104139#6-AddedOffRampEdge,701104139#6-AddedOffRampEdge_3,1448.74,263.94,199
2022-12-04 13:02:00,h38807c1:5,"[4092.816839104009, 2779.8112337292014]","[31.344706086313565, 30.06565839738901]",44.55945090064464,669890458#13,669890458#13_1,789.0,352.94,199
2022-12-04 13:02:00,h39582c1:5,"[4050.729790718925, 2971.291747542104]","[31.344240850622537, 30.067380195464892]",67.00469858612912,669890462#3,669890462#3_0,1825.6,173.36,199
2022-12-04 13:02:00,h39941c1:3,"[2633.997139261478, 2334.932700395148]","[31.32964442340586, 30.061453899245972]",0.0,650705746,650705746_0,415.45,84.68,199
2022-12-04 13:02:00,h402c1:5,"[2758.894058667352, 725.052990033948]","[31.331183240182607, 30.046948119044153]",57.57648094054937,-178543139#2,-178543139#2_0,5373.87,357.84,199
2022-12-04 13:02:00,h40414c1:1,"[3435.0298677918245, 1740.3333515332083]","[31.338041000615245, 30.056195477561097]",65.88811550944592,700074885#21,700074885#21_0,491.98,173.45,199
2022-12-04 13:02:00,h40539c1:3,"[5151.07158659756, 2314.3922624048078]","[31.355750490298583, 30.061597700762615]",53.35910387242447,699691940#3,699691940#3_0,1824.42,264.04,199
2022-12-04 13:02:00,h40584c1:3,"[4492.327045257688, 3101.563467878871]","[31.348801141534526, 30.068612957560042]",61.355058969692884,37711813#6,37711813#6_0,1302.38,354.29,199
2022-12-04 13:02:00,h40841c1:1,"[4076.6654286753196, 2895.8319825959693]","[31.344521160735482, 30.066702880790107]",62.08342449492801,:8285673807_0,:8285673807_0_0,972.46,354.49,199
2022-12-04 13:02:00,h41366c1:3,"[3926.5218281485627, 2464.133425887921]","[31.343028918136064, 30.062789021933224]",59.88245877738744,858935315,858935315_0,2881.42,264.06,199
2022-12-04 13:02:00,h41395c1:5,"[5518.10335900049, 1974.811377266749]","[31.359607293839424, 30.058581958389208]",51.773371779018305,-658893836,-658893836_0,4448.0,94.84,199
2022-12-04 13:02:00,h41614c1:3,"[4067.620699681611, 2982.7349658452576]","[31.344414307366694, 30.067485628319112]",50.22666381323581,669890458#16,669890458#16_0,1375.96,354.13,199
2022-12-04 13:02:00,h42281c1:5,"[2421.862221884703, 1339.7419861603034]","[31.32759544816433, 30.052448636562016]",59.6084245602345,693475726,693475726_0,1599.54,143.93,199
2022-12-04 13:02:00,h42285c1:3,"[4557.921370805984, 2345.344520210879]","[31.349594640304428, 30.061799829982533]",47.625188060557974,25584650#3-AddedOffRampEdge,25584650#3-AddedOffRampEdge_0,493.97,174.52,199
2022-12-04 13:02:00,h42624c1:3,"[4192.657838076417, 1552.0372554515695]","[31.345925699015893, 30.05459598647308]",58.92042611792755,700675428,700675428_0,2479.45,263.51,199
2022-12-04 13:02:00,h42784c1:5,"[4031.961507626806, 2467.9721442440427]","[31.344121803987413, 30.06283742880706]",50.55111892442131,652130052,652130052_0,1758.16,83.64,199
2022-12-04 13:02:00,h43109c1:3,"[2819.2006738816353, 3075.8816078963714]","[31.33145290404119, 30.068162153928693]",66.67617997320863,52244427#7,52244427#7_1,746.48,264.12,199
2022-12-04 13:02:00,h4350c1:3,"[4960.734145988563, 3327.157654452342]","[31.353625367408767, 30.07070893116351]",52.69509969838321,958778139#0-AddedOnRampEdge,958778139#0-AddedOnRampEdge_1,4112.39,61.28,199
2022-12-04 13:02:00,h43826c1:3,"[4223.422234547777, 3232.799245583845]","[31.345992603701333, 30.069761736465352]",63.453676992054916,819585395#7,819585395#7_1,3877.94,263.93,199
2022-12-04 13:02:00,h43863c1:3,"[2921.476913330224, 2652.646173594309]","[31.33257762700721, 30.064357741875305]",45.64311367459534,26729412#2,26729412#2_0,3294.0,83.51,199
2022-12-04 13:02:00,h43906c1:5,"[4687.11887991886, 2781.7928834303016]","[31.350869193011516, 30.06575374569105]",55.664952086794244,37099917#6,37099917#6_0,1386.08,264.04,199
2022-12-04 13:02:00,h4464c1:5,"[3531.837062630923, 1827.763300878706]","[31.339031703159268, 30.05699684589012]",50.63944004259746,32690567#16,32690567#16_0,1565.27,173.92,199
2022-12-04 13:02:00,h45683c1:5,"[2689.6183136652908, 2332.151491223732]","[31.33022165229384, 30.061436138940895]",0.0,765656381#5,765656381#5_0,554.04,261.61,199
2022-12-04 13:02:00,h46336c1:5,"[2755.136173305337, 2448.351599197763]","[31.33088350150094, 30.06249297192996]",55.80249927336175,26729390#2,26729390#2_0,810.58,173.24,199
2022-12-04 13:02:00,h472c1:5,"[4294.701650920209, 2503.273430232601]","[31.346841262301723, 30.063190168239313]",69.82452608478268,858935315,858935315_0,2005.3,264.01,199
2022-12-04 13:02:00,h47677c1:3,"[3500.412725744686, 3365.246800530749]","[31.33847415090481, 30.07086192889788]",30.370864539564433,28495635#3,28495635#3_0,2033.96,188.3,199
2022-12-04 13:02:00,h48342c1:1,"[5180.208972458225, 1447.0648196583418]","[31.35618194595465, 30.053777489539417]",62.8100106131985,-26195753#2,-26195753#2_0,1029.59,6.74,199
2022-12-04 13:02:00,h48805c1:3,"[3327.1822978539612, 2890.8402410120398]","[31.336749108033388, 30.066559724621015]",59.25588983395468,28582639#11,28582639#11_1,4628.44,352.62,199
2022-12-04 13:02:00,h49024c1:5,"[2626.528794743538, 2334.237350881231]","[31.32956707986455, 30.0614466425753]",0.0,650705746,650705746_0,1496.28,84.68,199
2022-12-04 13:02:00,h49065c1:1,"[3450.0420570539895, 1603.940593472205]","[31.338217224878882, 30.054967083893878]",49.99254747966127,700074885#23,700074885#23_0,1557.16,174.63,199
2022-12-04 13:02:00,h49092c1:1,"[2307.390545372285, 1989.8256717740464]","[31.326309803829513, 30.058297723252146]",58.78750570905798,859375452,859375452_0,1901.99,353.82,199
2022-12-04 13:02:00,h4944c1:3,"[3025.788741855854, 2450.7409422937008]","[31.333689919144046, 30.06255013483074]",56.19377689850229,-28616980#1,-28616980#1_0,1245.58,83.47,199
2022-12-04 13:02:00,h494c1:5,"[4300.6363496264485, 1770.0874569734701]","[31.34701271926196, 30.05657704841983]",60.42973485903762,37718133#2,37718133#2_0,181.3,352.84,199
2022-12-04 13:02:00,h49536c1:3,"[4558.958373597452, 1684.6410991134508]","[31.34970427374268, 30.055839909708006]",64.98997692135401,:cluster_442338233_442349883_7,:cluster_442338233_442349883_7_0,3753.36,83.84,199
2022-12-04 13:02:00,h50251c1:3,"[3105.1266759814134, 1989.9293531329693]","[31.33458228708791, 30.05840371822405]",58.544654866283615,28826000#3,28826000#3_0,3783.67,353.9,199
2022-12-04 13:02:00,h50265c1:5,"[2550.2714445016195, 1990.5152710481564]","[31.328828362085485, 30.058335985731084]",36.896959908983256,26206377#7,26206377#7_0,238.72,353.62,199
2022-12-04 13:02:00,h51011c1:1,"[5317.476201554353, 2717.2049802567194]","[31.35741616979137, 30.065252968141834]",46.69572366569174,363326171#0,363326171#0_0,206.46,260.06,199
2022-12-04 13:02:00,h51230c1:3,"[3217.6860384576953, 2891.4032917207924]","[31.335613453276277, 30.0665504293561]",24.488697611566636,:cluster_6568207743_6568207745_9848177519_9848177526_1,:cluster_6568207743_6568207745_9848177519_9848177526_1_0,251.51,355.94,199
