dateandtime,vehid,coord,gpscoord,spdK/m,edge,lane,displacement,turnAngle,vehDen
2022-12-04 00:02:00,h15856c1:5,"[4150.819261352737, 3199.5808418430734]","[31.3452446078199, 30.069452603957803]",59.438495229804225,939250973,939250973_0,1981.75,96.4,15
2022-12-04 00:02:00,h20645c1:5,"[4110.604894082587, 2637.5352350850976]","[31.344911922108366, 30.064377285274084]",57.529907841813134,669890458#10,669890458#10_1,2104.74,352.54,15
2022-12-04 00:02:00,h22689c1:3,"[4548.248855756881, 2607.2538513340223]","[31.349455124624082, 30.06416119337358]",50.12313620935689,37711813#3,37711813#3_0,4481.55,353.61,15
2022-12-04 00:02:00,h28215c1:2,"[3477.0366664611206, 2409.4485946160803]","[31.338375781209486, 30.062236885238633]",15.433214759236211,25584525#15,25584525#15_0,1829.26,354.2,15
2022-12-04 00:02:00,h29918c1:2,"[4114.474125713053, 1656.2003155832506]","[31.345099331390312, 30.055525413634918]",30.733716263122904,32690620#2,32690620#2_0,2849.22,353.65,15
2022-12-04 00:02:00,h33164c1:3,"[4170.72047761716, 1140.6551119229753]","[31.345759913852724, 30.050882143462854]",52.308813767711,-215628998#0,-215628998#0_0,3589.38,173.86,15
2022-12-04 00:02:00,h38668c1:8,"[2699.256337515588, 3060.450951038681]","[31.33021129955586, 30.068007161702745]",51.867674332281666,52244427#10,52244427#10_0,3647.51,264.1,15
2022-12-04 00:02:00,h43987c1:7,"[3956.423451584388, 2459.5459684028065]","[31.343339702176113, 30.06275154812691]",52.39806611767325,652130052,652130052_0,1676.59,83.64,15
2022-12-04 00:02:00,h57272c1:5,"[2868.62031189313, 1417.750758835638]","[31.332216246005125, 30.053211175658106]",42.94540890248357,29982808#3,29982808#3_1,3183.04,262.85,15
2022-12-04 00:02:00,h60686c1:2,"[4991.531412436897, 3372.949289358088]","[31.35393793897471, 30.07112600793639]",45.35801612694962,37789114,37789114_0,2248.63,324.67,15
2022-12-04 00:02:00,randUni10392:1,"[4348.451186269911, 3247.4272490395583]","[31.347287116260127, 30.06991000386267]",61.47730671156063,819585395#1-AddedOnRampEdge,819585395#1-AddedOnRampEdge_2,3072.25,263.06,15
2022-12-04 00:02:00,randUni10560:1,"[3615.940548351187, 1473.1708794774522]","[31.339957218613186, 30.053809178311994]",59.691685628226416,850927453#1-AddedOnRampEdge,850927453#1-AddedOnRampEdge_1,1815.22,83.6,15
2022-12-04 00:02:00,randUni5399:1,"[3496.258537719917, 1564.4774457763685]","[31.33870241821749, 30.054617154345962]",54.66030048759891,32690553#0,32690553#0_0,2025.75,83.93,15
2022-12-04 00:02:00,randUni7387:1,"[3929.7959004925747, 3394.565620168314]","[31.342923017823242, 30.071182628422477]",16.649204670137596,-699921237#0,-699921237#0_0,2605.42,20.25,15
2022-12-04 00:02:00,randUni7477:1,"[5303.546230564912, 1693.8985658377178]","[31.3574241474289, 30.056020115138576]",50.350103530586104,41336031#15,41336031#15_0,3154.75,200.96,15
2022-12-04 00:03:00,h38668c1:8,"[1823.2052655946065, 2967.7362566359316]","[31.32113994284529, 30.0670550798402]",50.765105646692305,52244427#14,52244427#14_0,4530.52,264.31,4
2022-12-04 00:03:00,h43987c1:7,"[4563.767888344371, 2274.5323550523453]","[31.349665869876826, 30.061161811009633]",50.660437895639866,699691142,699691142_0,2501.97,182.73,4
2022-12-04 00:03:00,h57272c1:5,"[2557.667958291239, 1854.854418063851]","[31.328925620468965, 30.05711320774016]",44.44128719340875,-699935035,-699935035_0,3897.11,266.65,4
2022-12-04 00:03:00,randUni10560:1,"[4593.584448310193, 1582.4857291051596]","[31.35007862191573, 30.054922895418134]",58.17877834279688,564577984#2,564577984#2_1,2800.8,83.45,4
