dateandtime,vehid,coord,gpscoord,spdK/m,edge,lane,displacement,turnAngle,vehDen
2022-12-04 05:02:00,h16661c1:5,"[4111.661748760118, 2604.8068275070555]","[31.34492779555871, 30.0640821887056]",68.3281940325524,:669890458#10-AddedOnRampNode_0,:669890458#10-AddedOnRampNode_0_0,937.75,352.6,21
2022-12-04 05:02:00,h20908c1:3,"[3532.447721835504, 3130.967773375211]","[31.33884170326247, 30.068752766001566]",48.05010230369109,939250966#6,939250966#6_0,838.92,83.66,21
2022-12-04 05:02:00,h62403c1:5,"[4754.476808137076, 3655.9775096345816]","[31.35143701287463, 30.073648323133455]",81.94961802296595,971350102#1,971350102#1_0,5236.93,184.51,21
2022-12-04 05:02:00,randUni10789:1,"[4859.684902464295, 3288.5740967258876]","[31.352583114529715, 30.070347745527798]",80.50562779398322,939250970,939250970_0,4535.25,84.01,21
2022-12-04 05:02:00,randUni10828:1,"[2458.3966667840214, 1493.7033029419033]","[31.327950947323465, 30.053842290777133]",41.10095363269396,-26206348#0,-26206348#0_0,353.47,173.84,21
2022-12-04 05:02:00,randUni1114:1,"[3858.915639633266, 2204.9209692115846]","[31.34236677765533, 30.06044189544065]",44.60198613811659,25584541#6,25584541#6_0,90.0,83.39,21
2022-12-04 05:02:00,randUni11163:1,"[4248.073955015375, 1460.4029908993216]","[31.346514082727758, 30.053776603781753]",30.95812603775723,-26202643#0,-26202643#0_0,720.19,262.94,21
2022-12-04 05:02:00,randUni11167:1,"[3374.7934879409213, 2391.0386840070146]","[31.337318253422886, 30.062057407694994]",57.920384775040375,858935302,858935302_0,710.29,83.52,21
2022-12-04 05:02:00,randUni12173:1,"[3695.779480440942, 2190.03260995048]","[31.340677256243005, 30.06028624813231]",8.4942431172093,:278876617_5,:278876617_5_0,58.08,196.77,21
2022-12-04 05:02:00,randUni12279:1,"[4378.1542899081, 2716.137954775173]","[31.34767481158148, 30.065121248559326]",39.1696450304668,26264286#1,26264286#1_0,2264.56,263.67,21
2022-12-04 05:02:00,randUni1597:1,"[3269.9895124939508, 2379.1463515369655]","[31.33623319000268, 30.061936378829152]",84.95236499085266,858935302,858935302_0,1426.94,83.71,21
2022-12-04 05:02:00,randUni1940:1,"[3246.5163073982794, 2911.664126960753]","[31.33590938933525, 30.06673698196363]",47.84011716802975,32692809#0,32692809#0_0,739.43,263.2,21
2022-12-04 05:02:00,randUni4049:1,"[4099.558835379863, 2725.1624693041385]","[31.344784211177366, 30.065166305519142]",69.0382647452587,669890458#12,669890458#12_1,1897.24,352.97,21
2022-12-04 05:02:00,randUni4128:1,"[4145.260275933416, 2288.174302691882]","[31.34532375271649, 30.06123031342638]",79.45794881874309,669890458#7,669890458#7_0,1532.94,353.97,21
2022-12-04 05:02:00,randUni4218:1,"[4329.4986769895895, 1433.0069929273343]","[31.34736252774757, 30.05354008688177]",9.478398052835429,-26202694#3,-26202694#3_0,3108.93,173.54,21
2022-12-04 05:02:00,randUni5502:1,"[3964.55285639873, 3048.1336530141325]","[31.34333556327057, 30.068062104059155]",43.906727772925215,32659640#0,32659640#0_0,2675.62,264.53,21
2022-12-04 05:02:00,randUni5573:1,"[3606.027321481521, 2417.2888141799394]","[31.339712287944185, 30.062324511912575]",77.62845052938641,858935302,858935302_0,1524.85,83.52,21
2022-12-04 05:02:00,randUni5908:1,"[2325.1345970946904, 2653.6271430344227]","[31.32639305885169, 30.06428799494514]",17.544501566000957,182371965#4,182371965#4_0,2888.38,353.25,21
2022-12-04 05:02:00,randUni7142:1,"[3948.5844294678973, 1533.7860348954273]","[31.343397484251362, 30.054399480161873]",82.10432951000895,701104139#4,701104139#4_1,1558.07,263.4,21
2022-12-04 05:02:00,randUni7791:1,"[4291.362794004384, 3215.3930951999987]","[31.346699842509175, 30.06961358547684]",109.65239921511828,939250973,939250973_1,4259.66,83.68,21
2022-12-04 05:02:00,randUni8950:1,"[2766.3173774927714, 2350.122480132044]","[31.331014323826768, 30.061608350492005]",32.15922018419544,26729390#3,26729390#3_0,386.85,173.3,21
2022-12-04 05:03:00,h16661c1:5,"[4080.448422517373, 2703.052127072357]","[31.344589341750048, 30.064964358009956]",68.96209729836205,669890462#5,669890462#5_0,1989.42,173.52,17
2022-12-04 05:03:00,h20908c1:3,"[5095.305793512316, 3285.082536994591]","[31.355027340949064, 30.070346856560537]",81.88598445691437,41336031#0-AddedOnRampEdge,41336031#0-AddedOnRampEdge_1,2463.5,145.41,17
2022-12-04 05:03:00,h23426c1:1,"[2136.026883560442, 2842.803130088441]","[31.32440315426577, 30.06596950047681]",58.736927381567405,26520995,26520995_0,108.11,84.22,17
2022-12-04 05:03:00,h2342c1:3,"[5052.1283343399, 3347.425821886405]","[31.354570225770402, 30.070903636104045]",55.51573643061693,:8780545394_1,:8780545394_1_0,892.68,131.19,17
2022-12-04 05:03:00,randUni10828:1,"[2659.931919778185, 1371.2561830200873]","[31.330059304367865, 30.052764294341483]",15.064885579200892,888807595#5,888807595#5_0,1060.68,82.1,17
2022-12-04 05:03:00,randUni1114:1,"[4097.015502336341, 1717.7385516296845]","[31.3449090548159, 30.05607825598031]",46.08255597036706,:6574844034_0,:6574844034_0_0,783.78,173.69,17
2022-12-04 05:03:00,randUni11163:1,"[4122.216533504669, 2507.80602135918]","[31.345051815737687, 30.06320854735094]",74.74311123741356,669890458#10-AddedOnRampEdge,669890458#10-AddedOnRampEdge_1,1787.33,353.55,17
2022-12-04 05:03:00,randUni11167:1,"[3841.2449428321097, 2231.1063985787214]","[31.342179591261015, 30.060675796443864]",35.82471499113102,-25584578#0,-25584578#0_0,1357.89,174.74,17
2022-12-04 05:03:00,randUni12173:1,"[4055.882289468402, 2485.9349595476992]","[31.344367177360166, 30.063002591435637]",33.35257917586782,671744652#1-AddedOnRampEdge,671744652#1-AddedOnRampEdge_1,737.04,263.33,17
2022-12-04 05:03:00,randUni1597:1,"[4527.323052118566, 2514.126147040754]","[31.349252053418994, 30.06331838517954]",38.285672783748254,858915973#3,858915973#3_0,2695.67,83.89,17
2022-12-04 05:03:00,randUni1940:1,"[2627.49170923912, 2757.725477336834]","[31.329512903590388, 30.065266917887]",39.187197401733776,-182371948#0,-182371948#0_0,1441.56,264.89,17
2022-12-04 05:03:00,randUni4128:1,"[4062.2814209095545, 2872.0241509014068]","[31.34437556097541, 30.06648623765805]",79.46250947042913,669890462#3,669890462#3_0,2733.34,173.36,17
2022-12-04 05:03:00,randUni5573:1,"[4183.1941032092855, 1783.0924247965759]","[31.345792908058367, 30.05667904487166]",76.30240653218435,669890462#15,669890462#15_0,2710.08,174.07,17
2022-12-04 05:03:00,randUni7142:1,"[2787.4199352844084, 1477.4621690830113]","[31.33136521026362, 30.053739130567447]",42.7219902715618,652096512#0,652096512#0_0,2788.87,352.41,17
2022-12-04 05:03:00,randUni7791:1,"[4645.604475820792, 3355.863145690166]","[31.350352745214014, 30.070926895020577]",41.63281085082406,720175744,720175744_0,5461.02,307.42,17
2022-12-04 05:03:00,randUni8950:1,"[2843.755633588481, 2097.160458633213]","[31.331855651733395, 30.059336652323996]",22.742062556976943,670456898,670456898_0,1155.53,179.67,17
2022-12-04 05:03:00,randUni9078:1,"[5299.098088464445, 1554.6562340119146]","[31.357398758970923, 30.05476345987255]",91.54938942041314,700084841#3,700084841#3_1,584.59,6.66,17
2022-12-04 05:04:00,h20908c1:3,"[5308.569377010857, 1682.6010974191793]","[31.35747791934193, 30.05591885359208]",25.386862306514296,886672181,886672181_0,4151.85,12.56,13
2022-12-04 05:04:00,h23426c1:1,"[2268.745335341497, 2393.0497107113683]","[31.325847837449118, 30.061929968238346]",99.71292670029082,906984715#0,906984715#0_0,1286.53,354.35,13
2022-12-04 05:04:00,h2342c1:3,"[5307.242690216424, 1796.8759645674527]","[31.357447142137726, 30.05694953372074]",99.41926149491792,41336031#12,41336031#12_0,2524.71,186.69,13
2022-12-04 05:04:00,h31683c1:5,"[4258.3109658961275, 1301.4694497795901]","[31.346644059848465, 30.05234423637721]",85.83178306701555,26026754#0,26026754#0_1,272.66,353.33,13
2022-12-04 05:04:00,h984c1:3,"[2952.4328250757376, 3086.2485272807817]","[31.332833087013984, 30.068273204260738]",52.58200687428004,52244427#7-AddedOnRampEdge,52244427#7-AddedOnRampEdge_2,70.5,260.41,13
2022-12-04 05:04:00,randUni10828:1,"[3854.6295450576404, 1500.0449897093652]","[31.342428278359055, 30.054082830973186]",82.11989611328177,850927453#3,850927453#3_0,2267.81,83.56,13
2022-12-04 05:04:00,randUni1114:1,"[3113.6266006621245, 1440.7037687828376]","[31.3347533614344, 30.053450431118]",91.23540717511254,700673538,700673538_1,1953.84,274.25,13
2022-12-04 05:04:00,randUni11163:1,"[4402.653635356693, 3250.7251647063395]","[31.347848769882976, 30.069946821112826]",35.745908189411836,819585395#1-AddedOnRampEdge,819585395#1-AddedOnRampEdge_1,2893.29,264.35,13
2022-12-04 05:04:00,randUni12173:1,"[2904.8546357088853, 2355.7171300041277]","[31.332450152909914, 30.06167705080744]",69.30236514347953,765656381#3,765656381#3_0,1899.15,263.83,13
2022-12-04 05:04:00,randUni1597:1,"[4847.693462575476, 2513.47929322328]","[31.352574582387962, 30.063354231117366]",27.64808499122478,26253984#3,26253984#3_0,3456.65,83.97,13
2022-12-04 05:04:00,randUni7892:1,"[2244.2061449119697, 2627.4146030630577]","[31.325557766219806, 30.064040852168212]",91.91492316745575,906984715#1,906984715#1_0,573.0,352.84,13
2022-12-04 05:04:00,randUni8950:1,"[2587.831168426292, 1833.6334416970592]","[31.32924162284411, 30.05692575558176]",30.451672569415777,-546671038,-546671038_0,1815.0,83.46,13
2022-12-04 05:04:00,randUni9078:1,"[5206.318138387812, 1647.1030439280007]","[31.356422879039734, 30.05558538093956]",24.888081577272008,:2251061748_3,:2251061748_3_0,1363.93,61.65,13
2022-12-04 05:05:00,h20908c1:3,"[5533.0300220603585, 1605.2621027809032]","[31.35981704762905, 30.055250251864457]",53.06590673629916,-26203057,-26203057_0,4741.55,84.73,17
2022-12-04 05:05:00,h23426c1:1,"[2788.5617909171374, 2908.7038114506086]","[31.331160456954997, 30.066650062989936]",54.53112384943267,26253884#7,26253884#7_0,2305.7,83.94,17
2022-12-04 05:05:00,h2342c1:3,"[5396.753079817433, 1594.6700249283126]","[31.358405460160206, 30.055137065057473]",20.878214109412216,:cluster_6274422668_7130062668_6,:cluster_6274422668_7130062668_6_0,3109.62,157.12,17
